VJAVKW_DT,VJAVKW,TTOKM
2022-01-10,202202,68537.0
2022-01-17,202203,63877.0
2022-01-24,202204,69300.0
2022-01-31,202205,64754.0
2022-02-07,202206,67513.0
2022-02-14,202207,66124.0
2022-02-21,202208,65547.0
2022-02-28,202209,63128.0
2022-03-07,202210,67501.0
2022-03-14,202211,59801.0
2022-03-21,202212,61164.0
2022-03-28,202213,60455.0
2022-04-04,202214,60262.0
2022-04-11,202215,51334.0
2022-04-18,202216,51511.0
2022-04-25,202217,64073.0
2022-05-02,202218,63861.0
2022-05-09,202219,61570.0
2022-05-16,202220,63489.0
2022-05-23,202221,61289.0
2022-05-30,202222,64918.0
2022-06-06,202223,55673.0
2022-06-13,202224,51729.0
2022-06-20,202225,60956.0
2022-06-27,202226,56252.0
2022-07-04,202227,51023.0
2022-07-11,202228,53227.0
2022-07-18,202229,53088.0
2022-07-25,202230,50553.0
2022-08-01,202231,51008.0
